"net_tfa","age","inc","educ","fsize","marr","twoearn","db","pira","hown","p401","e401"
-19840,31,25002,12,4,1,1,0,0,0,0,0
1384,30,46398,16,4,1,1,0,0,1,0,0
0,46,18000,14,2,0,0,0,1,1,0,0
20700,38,33576,10,4,1,0,0,0,1,0,0
2250,25,3150,16,1,0,0,0,0,0,0,0
59498,46,64203,12,5,1,1,1,0,0,0,0
10,29,16194,12,3,0,0,0,0,1,0,0
1400,58,14400,4,5,1,0,0,0,1,0,0
10600,46,41622,11,5,1,0,0,1,1,0,0
-1068,42,60384,12,4,1,1,0,0,1,0,0
41302,63,46122,13,2,1,0,0,0,1,0,0
10055,34,41757,12,4,1,0,0,1,1,0,0
-100,40,58320,12,3,1,1,0,0,1,0,0
-5100,35,38244,16,3,1,1,0,0,0,0,0
-550,43,14292,12,3,1,0,0,0,1,0,0
-1400,37,24231,13,4,1,1,0,0,1,0,0
800,32,25314,12,1,0,0,0,0,0,0,0
-1847,54,4917,11,1,0,0,0,0,0,0,0
-50,30,12051,18,1,0,0,0,0,0,0,0
3000,53,30780,8,4,1,1,1,0,1,0,0
62800,57,61500,13,3,1,0,0,1,1,0,0
-9100,29,49200,17,2,1,1,0,0,1,0,0
0,49,11730,4,6,1,0,0,0,0,0,0
24999,49,63396,16,3,1,0,0,0,1,0,0
10,34,7329,16,1,0,0,0,0,0,0,0
0,26,17952,15,1,0,0,0,0,0,0,0
0,37,18942,14,4,0,0,0,0,0,0,0
-5000,25,27480,12,3,1,1,0,0,1,0,0
20,57,6885,12,2,0,0,0,0,1,0,0
200,28,17370,12,1,0,0,0,0,0,0,0
0,32,37593,16,4,1,1,1,0,0,0,0
-1345,63,16575,11,2,1,1,0,0,0,0,0
-3250,27,29766,14,2,1,0,0,0,1,0,0
11700,38,77124,17,1,0,0,0,1,1,0,0
3720,60,2307,10,2,0,0,0,0,1,0,0
-1600,28,29922,11,6,1,1,0,0,1,0,0
26600,38,80550,18,2,1,1,0,1,1,0,0
2700,44,32460,14,2,1,0,1,0,1,0,0
49,38,39420,14,4,1,1,0,0,1,0,0
0,42,18000,1,1,0,0,0,0,1,0,0
15599,61,19278,8,1,0,0,1,1,0,0,0
2905,51,19956,12,3,1,0,0,0,1,0,0
15970,37,7182,18,1,0,0,0,0,1,0,0
-86500,57,47193,12,2,1,1,0,0,0,0,0
-4200,27,13200,12,2,0,0,0,0,0,0,0
-2415,38,14892,12,5,1,1,0,0,0,0,0
0,29,13500,12,2,0,0,0,0,0,0,0
44,46,72099,16,2,1,0,0,0,1,0,0
90930,36,93648,18,2,1,1,0,1,0,0,0
4700,56,48690,12,3,1,1,1,1,1,0,0
-712,30,9009,6,4,1,0,0,0,0,0,0
-635,29,36213,9,6,1,1,0,0,0,0,0
0,26,10200,14,1,0,0,0,0,0,0,0
-2200,34,43716,12,3,1,1,1,0,0,0,0
-5055,59,9078,6,2,1,0,0,0,1,0,0
5399,31,13479,12,3,1,0,0,1,0,0,0
-2100,29,31569,17,4,1,0,0,0,1,0,0
600,49,17874,12,2,0,0,0,0,1,0,0
7299,31,43005,12,2,1,1,0,1,1,0,0
15100,33,33885,16,2,1,1,0,0,1,0,0
0,40,10260,12,1,0,0,0,0,0,0,0
31791,53,23721,13,1,0,0,1,1,1,0,0
-400,30,23118,16,1,0,0,1,0,0,0,0
-12000,32,25305,12,3,1,1,0,0,1,0,0
499,47,49206,16,4,1,1,0,0,1,0,0
4500,33,30075,6,3,1,1,0,0,1,0,0
-10525,30,35058,16,2,1,1,0,0,0,0,0
-170,43,15330,10,5,1,0,0,0,0,0,0
0,26,22080,12,3,0,0,1,0,0,0,0
1000,44,65400,16,4,1,1,1,0,0,0,0
-9764,43,11454,12,5,1,0,0,0,1,0,0
17075,35,30300,18,2,0,0,0,0,1,0,0
2010,48,29238,10,4,1,0,0,0,1,0,0
600,42,10428,12,3,0,0,0,0,1,0,0
41549,39,84111,18,1,0,0,1,1,1,0,0
26564,45,70035,10,2,0,0,0,0,0,0,0
0,40,10560,12,2,0,0,0,0,0,0,0
44763,62,40500,11,3,1,1,0,1,1,0,0
1600,36,31869,16,1,0,0,0,1,0,0,0
10029,30,21306,16,2,0,0,0,0,1,0,0
29715,35,74178,14,4,1,0,0,0,1,0,0
4144,44,47769,12,6,1,0,0,0,1,0,0
-18500,56,12024,12,2,0,0,0,0,1,0,0
0,35,2640,9,4,0,0,0,0,0,0,0
-1564,49,22395,12,5,1,1,1,0,1,0,0
385000,43,50484,12,3,0,0,0,1,1,0,0
-4000,45,42576,16,1,0,0,1,0,0,0,0
0,38,10443,12,4,0,0,0,0,0,0,0
1800,32,19224,14,1,0,0,1,0,0,0,0
1500,32,34455,13,3,1,1,0,1,1,0,0
-21070,27,33453,16,3,1,1,1,0,1,0,0
12500,44,21234,15,1,0,0,1,1,1,0,0
6000,32,21930,14,1,0,0,0,0,0,0,0
-5000,48,45165,12,3,1,1,0,0,1,0,0
-300,39,20760,12,2,1,1,0,0,1,0,0
-3900,31,27150,12,3,0,0,0,0,0,0,0
850,26,16116,13,3,1,0,0,0,0,0,0
-595,31,31536,12,4,1,1,1,0,1,0,0
12877,31,37461,12,4,1,1,0,0,1,0,0
60300,38,110181,12,5,1,1,0,1,0,0,0
30,35,24123,14,3,0,0,1,0,0,0,0
-15565,35,28782,13,5,1,1,0,0,1,0,0
1500,42,36666,18,3,1,1,0,0,1,0,0
300,44,72975,10,3,1,1,1,0,1,0,0
-5250,48,49656,12,3,1,1,0,0,0,0,0
-10491,36,36267,15,4,1,1,0,0,1,0,0
1300,35,55374,12,3,1,1,0,1,1,0,0
0,28,22833,12,3,0,0,0,0,0,0,0
-2000,37,69120,16,3,1,1,0,0,0,0,0
1000,34,24465,11,3,1,1,0,0,0,0,0
454,46,80862,17,5,1,1,1,0,1,0,0
209,30,33420,12,4,1,1,0,0,0,0,0
1460,54,7440,8,1,0,0,1,0,1,0,0
-9600,47,15141,12,2,1,0,0,0,1,0,0
4572,34,20667,12,4,1,1,0,1,0,0,0
25699,52,30870,13,3,1,1,0,0,1,0,0
2924,27,16860,12,1,0,0,0,0,0,0,0
0,43,16080,14,1,0,0,0,0,0,0,0
26000,40,52998,18,1,0,0,1,0,1,0,0
740,28,16830,13,1,0,0,1,0,0,0,0
4000,63,37320,8,2,1,0,0,0,1,0,0
1799,54,53133,18,3,1,1,0,0,0,0,0
100,35,28998,12,3,0,0,1,0,0,0,0
4500,59,7740,7,2,1,0,0,0,1,0,0
-300,33,13755,12,3,0,0,1,0,0,0,0
200,30,42315,14,2,1,1,0,0,1,0,0
200,58,20490,12,4,1,1,0,0,1,0,0
-397,35,21177,12,4,0,0,0,0,0,0,0
0,35,21735,12,4,1,1,0,0,0,0,0
-9550,42,12600,12,1,0,0,0,0,1,0,0
130812,59,45519,12,2,1,1,0,1,1,0,0
49,48,26958,13,3,1,0,0,0,0,0,0
4600,32,50970,15,2,1,0,0,0,1,0,0
50,43,39612,12,2,1,1,0,0,1,0,0
-1951,31,24012,13,2,1,1,0,0,0,0,0
-2854,54,28059,16,5,1,1,0,1,0,0,0
0,27,16200,12,1,0,0,0,0,0,0,0
1800,45,14850,12,2,0,0,0,0,1,0,0
41499,58,20976,13,1,0,0,0,0,1,0,0
-3386,29,16902,1,7,1,0,0,0,0,0,0
-400,63,11877,12,3,0,0,0,0,0,0,0
-6397,43,11103,14,4,0,0,0,0,0,0,0
-1700,29,39051,16,1,0,0,0,0,0,0,0
-500,51,19968,18,2,0,0,0,0,1,0,0
-225,44,42744,13,2,1,1,1,0,0,0,0
8400,38,78396,16,4,1,1,0,1,1,0,0
-11635,37,34803,11,5,1,1,0,0,1,0,0
2750,44,10446,12,5,1,0,0,0,1,0,0
67600,44,34755,1,4,1,0,0,0,1,0,0
31,29,15174,12,4,0,0,0,0,1,0,0
-165,37,20421,13,1,0,0,0,0,0,0,0
28999,42,55110,12,4,1,1,0,1,1,0,0
500,38,28050,12,4,1,0,0,0,1,0,0
50,40,12120,12,4,0,0,1,0,1,0,0
0,31,28080,12,3,1,1,0,0,1,0,0
-101436,31,42555,13,3,1,1,0,0,0,0,0
3399,31,37509,16,1,0,0,0,0,0,0,0
0,35,9042,12,1,0,0,1,0,0,0,0
4210,42,57180,18,4,1,1,0,0,1,0,0
131,39,11604,18,3,1,1,0,0,1,0,0
-1804,27,23400,5,3,1,1,0,0,0,0,0
259,62,20622,16,1,0,0,0,0,1,0,0
599,27,10836,14,3,0,0,0,0,1,0,0
1490,38,12816,10,4,1,0,0,0,1,0,0
3450,33,43830,15,3,1,1,0,1,1,0,0
2225,60,22986,12,2,1,1,0,1,1,0,0
3000,60,37794,13,2,1,1,0,1,0,0,0
100,52,4890,10,1,0,0,0,0,1,0,0
294,61,19545,12,3,1,1,0,0,1,0,0
700,31,19860,14,1,0,0,0,0,0,0,0
52000,61,13206,12,4,0,0,0,1,1,0,0
89900,49,23250,12,1,0,0,0,1,1,0,0
1258,34,60615,14,4,1,1,0,1,1,0,0
4000,31,23529,16,1,0,0,1,0,0,0,0
3800,29,37704,12,3,1,1,0,0,1,0,0
8199,33,24612,6,5,0,0,0,0,1,0,0
-13600,33,38550,14,3,1,1,0,1,0,0,0
195000,44,128700,17,4,1,1,1,1,1,0,0
-450,31,12816,12,4,0,0,0,0,0,0,0
0,47,37800,14,2,0,0,0,0,1,0,0
-7451,40,17880,12,3,0,0,0,0,0,0,0
-7920,41,19641,12,3,0,0,0,0,1,0,0
0,36,5103,12,2,0,0,0,0,0,0,0
30,29,12756,12,1,0,0,0,0,0,0,0
0,33,4845,12,3,0,0,0,0,0,0,0
12192,27,31830,15,3,1,1,0,1,1,0,0
99,42,23430,13,5,0,0,0,0,0,0,0
900,36,42114,15,6,1,1,0,0,0,0,0
5000,32,11100,1,5,1,0,0,0,0,0,0
0,26,5280,12,1,0,0,0,0,1,0,0
-6301,39,37569,12,4,1,1,0,0,0,0,0
24900,45,43239,12,1,0,0,1,1,1,0,0
59061,63,71184,12,2,1,1,0,1,1,0,0
-350,31,59544,16,4,1,1,1,0,1,0,0
0,30,4200,11,6,0,0,1,0,0,0,0
0,46,7668,8,2,0,0,0,0,1,0,0
0,55,7872,11,2,0,0,0,0,0,0,0
-2100,38,31896,15,5,1,1,1,0,1,0,0
0,25,14439,9,3,1,0,0,0,0,0,0
3899,34,19713,12,3,1,0,0,0,0,0,0
28000,41,31254,18,1,0,0,1,0,1,0,0
62300,35,63525,18,1,0,0,0,1,0,0,0
-6600,43,31800,12,3,0,0,1,0,1,0,0
-451,60,24996,10,4,1,1,1,0,1,0,0
0,51,36450,12,3,1,0,0,0,1,0,0
2600,60,21072,15,2,1,1,0,0,0,0,0
200,49,18012,12,2,0,0,0,0,1,0,0
-600,42,12240,12,3,1,0,0,0,0,0,0
734,53,31386,12,3,1,0,0,0,1,0,0
-4850,34,21645,14,2,0,0,1,0,0,0,0
-633,56,17724,13,3,1,0,0,0,1,0,0
14800,53,37482,12,3,1,1,0,1,1,0,0
-3300,58,27639,10,2,1,0,0,0,1,0,0
360,26,30720,16,1,0,0,0,0,1,0,0
2549,38,18438,11,6,1,0,0,0,0,0,0
-800,38,19125,12,7,1,0,0,0,0,0,0
12000,35,13704,12,6,1,0,0,1,1,0,0
749,53,34185,12,1,0,0,1,0,1,0,0
-40300,28,51660,18,1,0,0,0,0,1,0,0
0,35,1920,12,4,1,0,0,0,0,0,0
-3650,37,20424,11,4,1,0,0,0,1,0,0
-400,34,21600,13,3,1,1,0,0,0,0,0
4700,36,56118,16,1,0,0,1,1,1,0,0
-425,28,20148,12,5,1,1,1,0,0,0,0
-1150,44,16806,12,3,1,0,0,0,1,0,0
-1093,31,13317,15,4,1,1,0,0,1,0,0
-100,31,20475,17,1,1,0,0,0,0,0,0
-3000,51,8730,12,2,1,0,0,0,1,0,0
-150,28,19500,12,1,0,0,0,0,0,0,0
-16000,54,27858,6,4,1,0,0,0,1,0,0
-1700,36,41694,14,2,1,1,1,0,1,0,0
0,40,8850,12,1,0,0,0,0,0,0,0
0,29,7650,12,1,0,0,0,0,0,0,0
7499,25,51450,12,2,0,0,0,0,1,0,0
-57200,47,10542,12,2,1,0,0,0,1,0,0
0,49,15300,15,1,0,0,0,0,0,0,0
86500,35,102171,18,4,1,0,1,1,1,0,0
-5100,40,45231,13,3,0,0,0,0,1,0,0
-2674,30,13152,10,3,0,0,0,0,1,0,0
37316,38,27813,11,3,1,1,0,1,1,0,0
6048,49,39123,12,3,1,1,0,0,1,0,0
-2200,32,36150,12,4,1,1,0,0,1,0,0
110,52,39219,12,2,1,0,0,0,1,0,0
-300,55,10800,12,3,0,0,0,0,1,0,0
20649,58,20235,10,2,1,0,0,1,1,0,0
-13300,38,62703,12,5,1,1,0,0,1,0,0
310,43,23490,14,1,0,0,0,0,1,0,0
-150,27,15888,12,2,0,0,0,0,1,0,0
-9001,25,33729,18,1,0,0,0,0,0,0,0
1875,29,55845,12,2,1,1,0,0,1,0,0
-650,40,19209,15,2,0,0,0,0,1,0,0
656,59,23976,14,2,1,0,0,0,1,0,0
-32887,35,57156,12,4,1,1,0,0,1,0,0
0,43,13743,12,1,0,0,0,0,0,0,0
-11900,39,7470,12,1,0,0,1,0,0,0,0
2550,36,77940,15,4,1,1,0,0,1,0,0
-69300,46,16200,12,5,1,1,0,0,1,0,0
3700,26,10404,9,1,0,0,0,0,1,0,0
0,54,27240,16,5,0,0,1,0,0,0,0
250,56,35742,12,3,1,0,0,0,1,0,0
3660,63,28272,8,4,1,0,0,0,1,0,0
39000,62,58272,11,1,0,0,1,0,1,0,0
-1246,42,14307,12,6,1,0,0,0,0,0,0
215750,41,66018,16,3,0,0,0,0,1,0,0
-40650,38,6750,14,2,0,0,0,1,0,0,0
130,42,27000,13,1,0,0,1,0,1,0,0
11800,55,21801,12,3,0,0,1,1,1,0,0
8000,45,36495,12,3,0,0,1,0,0,0,0
469400,61,172092,12,2,1,0,0,1,1,0,0
1599,64,6498,13,1,0,0,0,0,0,0,0
1225,35,24549,14,1,0,0,1,0,0,0,0
1006499,40,82251,18,5,1,0,0,0,1,0,0
-1000,32,53796,17,5,1,0,0,0,0,0,0
-148,60,7650,6,1,0,0,0,0,1,0,0
-3500,42,38817,12,2,1,1,0,0,1,0,0
2398,31,19284,14,1,0,0,1,0,0,0,0
-3500,41,18675,14,2,0,0,0,0,1,0,0
20840,48,91230,12,3,1,1,1,1,1,0,0
-1600,53,21816,10,1,0,0,1,0,0,0,0
97333,63,44799,12,2,1,0,0,1,0,0,0
4200,28,48060,15,4,1,1,0,1,1,0,0
43399,55,76077,12,3,1,1,1,1,1,0,0
5692,33,49845,18,2,1,1,0,1,1,0,0
4000,31,27708,13,3,1,0,0,1,0,0,0
25,29,14670,12,1,0,0,0,0,0,0,0
-334,43,34299,18,2,0,0,0,0,1,0,0
11658,38,4584,12,3,0,0,0,1,1,0,0
0,28,19170,14,4,1,1,0,0,0,0,0
16069,39,45762,17,4,1,0,0,1,1,0,0
18000,52,21435,12,1,0,0,1,1,1,0,0
250,57,39312,16,1,0,0,0,0,1,0,0
6807,32,19035,12,4,1,0,1,0,1,0,0
975,42,6639,12,1,0,0,0,1,1,0,0
-4960,27,17004,13,3,0,0,0,0,0,0,0
184500,36,118401,16,4,1,0,0,1,1,0,0
20600,61,68220,12,2,1,1,0,1,1,0,0
1500,33,16290,12,1,0,0,1,0,0,0,0
-2650,38,29481,14,5,1,1,0,0,1,0,0
10499,35,15144,15,4,1,0,0,1,0,0,0
9645,33,22050,14,2,0,0,0,0,0,0,0
5021,54,9600,12,3,1,0,0,0,1,0,0
1200,30,22362,13,1,0,0,0,0,0,0,0
-9000,40,14241,14,5,0,0,0,0,0,0,0
1940,53,39192,10,2,1,1,0,1,1,0,0
-9700,56,37869,11,3,1,1,0,0,1,0,0
-1840,33,44388,12,5,1,0,0,0,1,0,0
93521,54,52770,14,5,1,0,0,1,1,0,0
1000,35,21450,12,5,1,0,0,0,1,0,0
-160,36,9270,12,4,0,0,0,0,0,0,0
-1200,25,28830,13,1,0,0,0,0,0,0,0
0,61,3636,9,1,0,0,0,0,0,0,0
2399,50,22200,12,1,0,0,1,0,1,0,0
65897,56,39546,12,1,0,0,0,1,1,0,0
-3690,43,37146,18,2,0,0,1,0,1,0,0
42800,53,32559,12,3,1,1,0,1,1,0,0
1200,29,15372,12,1,0,0,0,0,0,0,0
-6569,25,14484,11,4,1,0,0,0,1,0,0
300,36,57624,12,1,0,0,0,0,1,0,0
15600,25,17793,18,1,0,0,0,0,0,0,0
4000,49,48168,12,1,0,0,1,0,1,0,0
1600,27,74970,12,5,1,0,0,0,1,0,0
33926,59,43605,12,3,1,0,0,1,1,0,0
0,45,2400,12,3,1,0,0,0,0,0,0
21550,61,28926,16,5,1,1,0,1,1,0,0
-250,41,31800,12,1,0,0,1,0,0,0,0
8550,59,31350,12,1,0,0,0,1,0,0,0
7500,60,43320,12,4,1,1,0,0,1,0,0
-6600,32,52041,16,1,1,0,1,0,1,0,0
-299750,42,53514,10,4,1,1,0,0,1,0,0
0,42,16860,8,1,0,0,0,0,1,0,0
0,28,6006,10,2,0,0,0,0,0,0,0
-5100,31,33513,11,7,1,1,0,0,0,0,0
4249,26,35325,12,2,0,0,0,0,1,0,0
-2225,60,22440,12,2,1,1,0,0,1,0,0
125,43,13896,12,2,0,0,0,0,1,0,0
-4300,43,20583,16,4,0,0,1,0,0,0,0
35900,33,39351,18,1,0,0,0,1,0,0,0
400,58,12090,12,2,0,0,0,0,0,0,0
46800,58,24804,12,2,0,0,0,1,1,0,0
635,25,21630,16,1,0,0,0,1,0,0,0
-8388,28,28530,12,3,1,1,0,1,1,0,0
4200,41,48336,17,2,0,0,1,0,1,0,0
0,31,12588,12,6,1,1,0,0,0,0,0
1200,27,30162,8,5,1,0,0,0,0,0,0
6200,49,19809,12,3,0,0,1,0,0,0,0
-2200,30,14787,16,3,0,0,0,0,0,0,0
500,49,20430,13,1,0,0,0,0,0,0,0
45,38,11082,17,4,0,0,0,0,0,0,0
26200,59,28284,12,2,1,0,0,0,1,0,0
-8500,31,30315,13,4,1,0,0,0,1,0,0
300,42,35700,12,2,0,0,0,0,0,0,0
1700,45,45270,11,4,1,0,0,0,1,0,0
100,48,23412,12,6,1,0,0,0,1,0,0
25,34,12291,12,1,0,0,0,0,0,0,0
-8000,47,39432,12,5,1,1,1,0,1,0,0
-2752,61,49992,12,2,1,0,0,0,1,0,0
-7100,31,58122,16,2,1,1,1,0,0,0,0
0,61,25092,12,4,0,0,0,0,1,0,0
86030,40,43203,12,4,1,1,0,1,1,0,0
0,32,19200,14,1,0,0,0,0,0,0,0
16699,26,29700,16,1,1,0,1,0,0,0,0
-14551,36,104343,18,3,1,1,1,0,0,0,0
1000,63,19764,12,6,0,0,1,0,1,0,0
-3570,49,3840,14,2,1,0,0,0,1,0,0
57500,35,81075,14,3,1,0,0,1,1,0,0
-300,39,33078,16,1,0,0,0,0,0,0,0
-16700,35,65010,14,4,1,1,0,0,0,0,0
1100,60,30639,13,3,1,0,1,0,1,0,0
3000,42,50937,14,5,1,1,0,0,1,0,0
28000,53,108258,16,3,1,1,0,1,1,0,0
7700,52,73110,16,2,1,1,1,1,1,0,0
-3605,31,17127,12,2,1,0,0,0,1,0,0
93501,48,79053,12,2,1,0,0,1,1,0,0
-400,38,17700,12,1,0,0,0,0,1,0,0
0,33,12240,10,6,1,0,0,0,0,0,0
16549,26,11118,13,3,0,0,0,0,0,0,0
120000,40,124932,17,4,1,1,0,1,1,0,0
82200,25,28209,16,1,0,0,0,1,0,0,0
48800,26,86820,18,1,0,0,0,1,0,0,0
0,49,9612,12,2,0,0,0,0,0,0,0
25,34,8400,13,3,1,0,0,0,0,0,0
-3300,31,28146,12,5,1,0,0,0,1,0,0
-7000,38,8130,12,5,0,0,0,0,0,0,0
300,30,22722,16,1,0,0,0,0,0,0,0
100,25,7044,5,4,1,0,0,0,0,0,0
-15141,49,69555,18,4,1,1,1,0,1,0,0
2258,32,13866,12,2,0,0,0,0,0,0,0
-150,54,5400,12,2,0,0,0,0,1,0,0
5649,45,35580,12,3,1,1,0,1,1,0,0
-1,35,21630,11,5,0,0,1,0,0,0,0
900,36,17820,12,4,1,0,0,0,1,0,0
20000,32,28980,16,1,0,0,0,0,0,0,0
137000,39,54900,18,3,1,0,0,1,1,0,0
21000,35,92277,12,4,1,1,0,0,1,0,0
346749,57,128550,16,2,1,0,0,1,1,0,0
1800,52,19050,12,4,1,1,0,0,1,0,0
-3000,34,46053,12,4,1,1,0,0,1,0,0
17000,35,19464,12,4,0,0,1,0,1,0,0
28057,39,36522,14,2,1,1,0,1,1,0,0
16500,31,25560,16,3,1,0,0,0,0,0,0
5500,39,29265,10,3,1,1,1,0,1,0,0
-1000,27,15300,12,1,0,0,0,0,0,0,0
10000,36,38100,16,1,0,0,0,1,0,0,0
21050,37,47109,13,3,1,1,0,0,1,0,0
0,32,36000,18,5,1,0,0,0,0,0,0
23700,39,32100,16,1,0,0,1,1,1,0,0
-151,40,49209,12,1,0,0,1,0,0,0,0
-3000,41,20400,11,3,1,0,0,0,1,0,0
0,40,13896,8,7,1,0,0,0,0,0,0
-400,30,8400,12,2,0,0,0,0,0,0,0
9199,49,101946,12,6,1,1,0,0,1,0,0
0,39,13212,12,5,0,0,0,0,1,0,0
50,36,13821,14,2,0,0,0,0,1,0,0
79700,57,43350,12,2,1,0,0,1,1,0,0
41999,38,51798,14,2,0,0,0,0,1,0,0
1000,29,19254,14,3,0,0,0,0,1,0,0
0,53,9990,12,1,0,0,0,0,0,0,0
46500,33,41712,12,4,1,0,0,0,1,0,0
-3100,28,21450,14,3,1,1,0,0,1,0,0
34112,57,67098,18,1,0,0,1,1,1,0,0
-200,31,19056,12,5,1,0,1,0,0,0,0
-4199,27,44508,12,3,1,1,0,0,0,0,0
200,38,8406,13,3,1,0,0,0,1,0,0
0,28,10506,4,5,1,0,0,0,0,0,0
2700,31,16527,12,1,0,0,0,0,0,0,0
-6501,47,33780,13,5,1,1,0,0,1,0,0
126098,52,103164,18,6,1,1,1,1,1,0,0
-5901,52,67746,18,3,1,1,1,0,1,0,0
-409000,40,115584,14,2,1,1,0,0,1,0,0
-4900,28,20460,12,1,0,0,0,0,0,0,0
1200,32,29700,12,3,0,0,0,0,1,0,0
2999,56,16092,8,4,1,0,0,0,1,0,0
-11950,43,25371,12,1,0,0,0,0,1,0,0
-2900,51,35487,16,1,0,0,1,0,1,0,0
-3970,45,64791,14,4,1,1,1,0,0,0,0
-1915,60,25134,12,5,1,0,0,0,1,0,0
0,54,44616,11,3,1,1,0,0,1,0,0
-12900,34,29250,18,1,0,0,0,0,1,0,0
0,40,27840,12,2,0,0,0,0,0,0,0
0,36,3246,4,3,0,0,0,0,1,0,0
-1334,31,36153,14,5,1,0,0,0,1,0,0
76850,50,38400,12,2,1,1,0,1,1,0,0
0,27,14655,12,3,0,0,0,0,0,0,0
5,33,19200,13,1,0,0,1,0,0,0,0
26000,36,77010,16,4,1,1,0,1,1,0,0
32000,45,80550,13,3,1,1,1,1,0,0,0
7900,34,56787,16,3,1,1,0,0,1,0,0
-30240,25,85380,1,4,1,1,0,0,0,0,0
-300,58,19986,11,3,1,0,0,0,1,0,0
-3900,26,57975,16,1,0,0,0,0,1,0,0
-800,27,28965,12,5,1,1,0,0,1,0,0
-1214,33,9090,5,4,1,0,0,0,0,0,0
2700,40,58974,16,5,1,1,1,1,1,0,0
10399,40,29622,12,2,0,0,1,1,1,0,0
0,48,10200,13,1,0,0,0,0,0,0,0
-5400,55,23166,12,3,1,1,1,0,1,0,0
2499,45,39207,15,3,0,0,1,0,1,0,0
-10500,57,8190,12,2,1,0,0,0,1,0,0
3600,31,31800,16,4,1,0,0,0,1,0,0
300,27,32040,12,4,1,1,0,0,0,0,0
3955,31,23562,12,1,0,0,0,0,0,0,0
-1340,37,26553,12,2,0,0,1,0,1,0,0
2499,56,56940,18,1,0,0,1,1,1,0,0
700,27,28845,12,2,0,0,0,0,0,0,0
-6920,37,20403,6,1,0,0,0,0,0,0,0
70335,54,23832,13,3,1,0,1,0,1,0,0
-959,31,20418,12,4,1,0,0,0,0,0,0
5020,43,10980,12,3,0,0,0,0,1,0,0
500,45,20430,12,4,0,0,0,0,1,0,0
0,46,28800,12,2,0,0,1,0,1,0,0
1024,26,42738,15,3,1,1,0,0,1,0,0
19,34,11091,10,4,0,0,0,0,0,0,0
