"gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id"
"female","afam",1980 Q2,"kindergarten","regular",487,547,"non-free","inner-city","bachelor","level1",12,"afam","11","27","2669"
"male","cauc",1980 Q2,"kindergarten","regular+aide",425,489,"non-free","suburban","master","level1",8,"cauc","28","61","2685"
"female","cauc",1980 Q2,"kindergarten","small",447,500,"non-free","suburban","master","level1",14,"afam","11","21","2701"
"female","cauc",1980 Q3,"kindergarten","small",430,468,"non-free","rural","master","level1",13,"cauc","6","8","2730"
"female","cauc",1980 Q1,"kindergarten","small",480,547,"non-free","suburban","master","level1",14,"afam","11","21","2831"
"female","cauc",1979 Q4,"kindergarten","regular",440,513,"non-free","rural","master","level1",5,"cauc","19","47","2904"
"male","afam",1980 Q2,"kindergarten","regular+aide",410,405,"non-free","rural","bachelor","level1",13,"cauc","8","11","2972"
"female","cauc",1980 Q1,"kindergarten","small",413,506,"non-free","rural","master","level1",5,"cauc","12","35","3008"
"female","afam",1980 Q3,"kindergarten","regular",422,513,"free","suburban","bachelor","apprentice",1,"afam","11","21","3017"
"female","afam",1980 Q3,"kindergarten","small",442,559,"non-free","suburban","bachelor","apprentice",5,"afam","11","24","3035"
"female","afam",1980 Q1,"kindergarten","regular+aide",461,547,"free","inner-city","bachelor","level1",10,"afam","11","27","3104"
"male","afam",1980 Q3,"kindergarten","regular+aide",421,454,"free","inner-city","master","level1",22,"cauc","11","33","3115"
"female","afam",1980 Q2,"kindergarten","small",410,494,"free","inner-city","bachelor","apprentice",2,"cauc","11","19","3229"
"female","afam",1979 Q4,"kindergarten","small",465,626,"non-free","inner-city","bachelor","apprentice",2,"cauc","11","30","3286"
"male","cauc",1980 Q3,"kindergarten","regular",436,500,"non-free","rural","bachelor","level1",11,"cauc","21","49","3386"
"male","cauc",1979 Q4,"kindergarten","regular+aide",398,449,"free","rural","master","level1",5,"cauc","15","39","3431"
"female","cauc",1979 Q4,"kindergarten","regular+aide",442,528,"non-free","suburban","master","level1",8,"cauc","28","61","3446"
"male","cauc",1980 Q2,"kindergarten","regular+aide",461,500,"non-free","urban","bachelor","level1",11,"cauc","6","9","3484"
"male","cauc",1979 Q4,"kindergarten","regular",436,506,"free","rural","master","level1",13,"cauc","21","50","3510"
"male","afam",1979 Q4,"kindergarten","regular",411,444,"free","inner-city","bachelor","probation",0,"cauc","11","31","3624"
"male","cauc",1980 Q2,"kindergarten","regular+aide",436,459,"non-free","rural","master","level1",5,"cauc","15","39","3645"
"female","cauc",1980 Q2,"kindergarten","small",436,463,"non-free","suburban","master","level1",4,"cauc","18","46","3708"
"male","cauc",1980 Q3,"kindergarten","regular+aide",428,559,"non-free","rural","bachelor","level1",12,"cauc","9","12","3723"
"male","afam",1980 Q2,"kindergarten","regular+aide",434,473,"free","inner-city","bachelor","level1",11,"cauc","18","45","3757"
"male","cauc",1979 Q4,"kindergarten","small",443,500,"non-free","rural","master+","level1",8,"cauc","41","78","3767"
"male","cauc",1980 Q2,"kindergarten","small",424,520,"free","rural","bachelor","level1",2,"cauc","15","39","3790"
"male","afam",1980 Q3,"kindergarten","regular+aide",418,473,"free","inner-city","master","level1",22,"cauc","11","33","3801"
"male","afam",1980 Q1,"kindergarten","regular",428,500,"free","inner-city","bachelor","level1",11,"cauc","11","22","3824"
"male","afam",1980 Q1,"kindergarten","small",440,468,"free","inner-city","bachelor","level1",14,"cauc","11","32","3857"
"male","cauc",1980 Q2,"kindergarten","regular+aide",436,513,"non-free","suburban","bachelor","level1",7,"cauc","4","4","3869"
"male","afam",1980 Q2,"kindergarten","small",433,506,"non-free","inner-city","master","level1",13,"afam","11","14","3886"
"male","cauc",1980 Q2,"kindergarten","regular+aide",448,473,"non-free","suburban","bachelor","level1",8,"afam","11","17","3901"
"male","afam",1980 Q1,"kindergarten","regular",414,484,"free","rural","master","level1",15,"cauc","5","7","3953"
"female","cauc",1980 Q3,"kindergarten","small",411,468,"non-free","rural","bachelor","level1",20,"cauc","36","71","4026"
"female","afam",1980 Q3,"kindergarten","small",422,468,"non-free","suburban","bachelor","level1",11,"afam","11","23","4042"
"female","cauc",1980 Q1,"kindergarten","small",395,412,"non-free","rural","bachelor","level1",20,"cauc","36","71","4063"
"female","afam",1980 Q2,"kindergarten","regular",407,459,"free","suburban","bachelor","level1",6,"cauc","11","24","4110"
"female","cauc",1980 Q2,"kindergarten","regular",472,506,"non-free","rural","bachelor","level1",11,"cauc","31","64","4142"
"female","cauc",1980 Q2,"kindergarten","small",402,463,"free","urban","master","level1",12,"cauc","2","2","4157"
"female","cauc",1980 Q3,"kindergarten","regular",428,500,"non-free","rural","bachelor","level1",6,"cauc","36","71","4170"
"male","cauc",1980 Q3,"kindergarten","regular",413,463,"non-free","rural","master","level1",12,"cauc","6","8","4185"
"male","cauc",1978 Q2,"kindergarten","regular+aide",418,434,"free","urban","bachelor","level1",14,"cauc","6","9","4268"
"male","cauc",1980 Q3,"kindergarten","small",403,418,"free","rural","bachelor","level1",2,"cauc","37","73","4282"
"female","cauc",1980 Q1,"kindergarten","small",442,484,"free","suburban","bachelor","level1",11,"cauc","28","61","4305"
"female","afam",1980 Q1,"kindergarten","small",443,528,"free","inner-city","bachelor","apprentice",1,"afam","11","16","4321"
"male","afam",1980 Q2,"kindergarten","regular+aide",410,494,"non-free","urban","bachelor","level1",17,"cauc","2","2","4366"
"female","afam",1980 Q2,"kindergarten","regular+aide",403,439,"free","inner-city","bachelor","probation",0,"cauc","11","19","4397"
"male","cauc",1980 Q1,"kindergarten","small",433,489,"free","urban","master","level1",17,"cauc","20","48","4416"
"male","cauc",1980 Q1,"kindergarten","regular",422,528,"non-free","rural","bachelor","probation",0,"cauc","33","67","4464"
"male","cauc",1979 Q4,"kindergarten","regular+aide",434,536,"non-free","rural","bachelor","level2",27,"cauc","35","70","4488"
"female","afam",1980 Q3,"kindergarten","small",433,468,"free","suburban","bachelor","level2",13,"cauc","11","24","4569"
"female","cauc",1979 Q4,"kindergarten","small",440,559,"non-free","urban","master","level1",17,"cauc","20","48","4583"
"male","cauc",1979 Q3,"kindergarten","regular",461,559,"non-free","rural","bachelor","level1",20,"cauc","31","64","4618"
"female","cauc",1980 Q1,"kindergarten","regular+aide",413,459,"non-free","suburban","bachelor","level1",17,"cauc","18","43","4703"
"male","cauc",1980 Q2,"kindergarten","small",445,559,"free","rural","bachelor","level1",4,"cauc","10","13","4749"
"male","cauc",1979 Q4,"kindergarten","regular+aide",507,536,"non-free","suburban","bachelor","apprentice",3,"cauc","18","42","4759"
"female","cauc",1980 Q3,"kindergarten","small",490,576,"non-free","rural","bachelor","level1",15,"cauc","32","66","4778"
"female","cauc",1980 Q2,"kindergarten","regular",451,536,"non-free","rural","master","level1",6,"cauc","10","13","4814"
"female","cauc",1980 Q2,"kindergarten","regular",474,536,"non-free","rural","master","level1",10,"cauc","1","1","4828"
"male","afam",1980 Q2,"kindergarten","regular+aide",414,429,"free","inner-city","master","level1",22,"cauc","11","33","4844"
"male","cauc",1979 Q3,"kindergarten","small",400,423,"non-free","rural","bachelor","level1",4,"cauc","5","7","4889"
"female","cauc",1980 Q1,"kindergarten","regular",468,489,"non-free","rural","bachelor","level1",16,"cauc","35","69","4913"
"male","cauc",1980 Q3,"kindergarten","regular",386,399,"non-free","rural","bachelor","level1",8,"cauc","4","5","4921"
"male","afam",1980 Q1,"kindergarten","regular",424,478,"free","inner-city","bachelor","level1",6,"afam","11","19","4943"
"female","cauc",1980 Q2,"kindergarten","regular+aide",430,473,"free","rural","master","level1",8,"cauc","24","57","4958"
"female","cauc",1980 Q1,"kindergarten","regular",453,520,"free","rural","master","level1",15,"cauc","5","7","5008"
"male","afam",1980 Q3,"kindergarten","regular",456,528,"non-free","inner-city","bachelor","level1",10,"afam","11","30","5019"
"male","cauc",1979 Q4,"kindergarten","small",451,576,"non-free","rural","bachelor","level1",15,"cauc","31","65","5062"
"female","cauc",1980 Q2,"kindergarten","small",440,484,"non-free","rural","master","level1",8,"cauc","24","57","5102"
"female","cauc",1979 Q4,"kindergarten","small",445,459,"free","rural","specialist","level1",10,"cauc","3","3","5143"
"female","cauc",1980 Q2,"kindergarten","regular+aide",445,468,"non-free","suburban","master","level1",14,"cauc","12","36","5164"
"female","cauc",1980 Q2,"kindergarten","regular+aide",402,468,"free","rural","master","level1",9,"cauc","3","3","5198"
"female","cauc",1980 Q3,"kindergarten","regular+aide",414,484,"non-free","rural","master","level1",12,"cauc","41","79","5227"
"female","afam",1980 Q1,"kindergarten","small",408,449,"free","inner-city","bachelor","level1",6,"afam","11","19","5281"
"female","afam",1980 Q1,"kindergarten","regular+aide",393,454,"free","inner-city","bachelor","apprentice",1,"cauc","11","19","5375"
"male","afam",1980 Q1,"kindergarten","small",398,429,"free","inner-city","bachelor","level1",6,"afam","11","19","5392"
"female","cauc",1979 Q4,"kindergarten","small",450,513,"non-free","urban","bachelor","apprentice",1,"cauc","27","60","5415"
"female","cauc",1980 Q4,"kindergarten","regular+aide",445,468,"non-free","urban","master","level1",8,"cauc","26","59","5512"
"male","cauc",1980 Q2,"kindergarten","regular",424,500,"free","suburban","master+","level1",13,"cauc","22","51","5534"
"female","cauc",1980 Q2,"kindergarten","regular+aide",467,500,"non-free","rural","bachelor","level1",10,"cauc","34","68","5565"
"male","cauc",1980 Q1,"kindergarten","small",400,459,"non-free","rural","master","level1",13,"cauc","6","8","5599"
"female","cauc",1980 Q2,"kindergarten","small",434,513,"free","rural","master","level1",9,"cauc","9","12","5613"
"female","cauc",1980 Q1,"kindergarten","regular+aide",390,418,"free","rural","master","level1",5,"cauc","15","39","5648"
"female","cauc",1980 Q3,"kindergarten","regular+aide",416,473,"non-free","rural","master","level1",13,"cauc","40","76","5659"
"female","cauc",1980 Q1,"kindergarten","regular",425,449,"free","rural","bachelor","level1",8,"cauc","3","3","5712"
"female","cauc",1980 Q1,"kindergarten","regular",472,459,"free","rural","master","level2",11,"cauc","8","11","5824"
"male","cauc",1980 Q1,"kindergarten","regular",428,528,"non-free","rural","bachelor","level1",8,"cauc","3","3","5871"
"female","afam",1980 Q3,"kindergarten","regular+aide",470,489,"free","inner-city","bachelor","level1",20,"afam","11","27","5899"
"male","cauc",1979 Q4,"kindergarten","regular",439,559,"free","rural","bachelor","level1",8,"cauc","36","72","5910"
"female","cauc",1980 Q1,"kindergarten","regular+aide",430,494,"non-free","rural","master","level1",5,"cauc","12","34","5951"
"male","afam",1979 Q4,"kindergarten","regular+aide",467,506,"non-free","rural","master","level1",9,"cauc","3","3","5976"
"female","cauc",1980 Q1,"kindergarten","regular+aide",470,536,"free","rural","master","level1",10,"cauc","36","72","6065"
"male","afam",1980 Q1,"kindergarten","regular+aide",434,484,"non-free","suburban","master","level1",10,"cauc","11","24","6095"
"male","cauc",1980 Q2,"kindergarten","small",445,559,"non-free","rural","bachelor","level1",12,"cauc","21","50","6205"
"female","cauc",1980 Q1,"kindergarten","regular+aide",421,506,"non-free","suburban","bachelor","level1",3,"cauc","25","58","6223"
"female","afam",1980 Q3,"kindergarten","small",408,489,"free","inner-city","bachelor","level1",5,"cauc","11","29","6251"
"male","cauc",1979 Q4,"kindergarten","regular+aide",565,547,"non-free","rural","bachelor","level1",9,"cauc","21","49","6280"
"female","cauc",1980 Q3,"kindergarten","small",428,500,"non-free","rural","master","level1",6,"cauc","29","62","6313"
"female","cauc",1979 Q3,"kindergarten","regular",405,434,"free","rural","master","level1",8,"afam","32","66","6393"
"female","cauc",1980 Q3,"kindergarten","small",447,489,"non-free","suburban","bachelor","level1",10,"cauc","18","42","6410"
"male","cauc",1980 Q2,"kindergarten","small",407,444,"free","rural","master+","level1",8,"cauc","41","78","6556"
"female","afam",1980 Q3,"kindergarten","regular+aide",414,418,"free","inner-city","master","level1",22,"cauc","11","33","6571"
"male","cauc",1980 Q1,"kindergarten","regular",434,489,"non-free","rural","bachelor","level1",2,"cauc","40","76","6592"
"female","afam",1980 Q1,"kindergarten","regular",456,576,"free","inner-city","bachelor","level1",11,"cauc","11","22","6607"
"male","afam",1980 Q1,"kindergarten","regular",418,463,"free","inner-city","bachelor","probation",0,"afam","11","27","6640"
"female","cauc",1980 Q1,"kindergarten","regular",433,473,"free","suburban","bachelor","probation",14,"cauc","18","42","6655"
"female","afam",1980 Q2,"kindergarten","regular+aide",465,489,"free","inner-city","bachelor","level1",20,"afam","11","27","6700"
"male","afam",1980 Q3,"kindergarten","regular+aide",434,459,"free","suburban","bachelor","apprentice",1,"afam","11","20","6715"
"male","cauc",1979 Q4,"kindergarten","regular",427,520,"non-free","urban","bachelor","probation",0,"cauc","26","59","6743"
"female","afam",1980 Q1,"kindergarten","regular+aide",437,484,"free","inner-city","bachelor","level1",7,"cauc","11","22","6801"
"male","cauc",1979 Q4,"kindergarten","small",503,513,"non-free","rural","bachelor","level1",7,"cauc","30","63","6824"
"male","afam",1980 Q3,"kindergarten","regular",442,468,"free","inner-city","master","level1",7,"cauc","11","28","6937"
"male","afam",1979 Q2,"kindergarten","regular+aide",414,478,"free","suburban","master","level1",15,"afam","11","21","6956"
"male","afam",1980 Q3,"kindergarten","regular+aide",421,418,"non-free","suburban","bachelor","level1",7,"cauc","22","54","6971"
"female","afam",1980 Q2,"kindergarten","regular",421,513,"free","inner-city","bachelor","probation",0,"cauc","11","31","6990"
"female","cauc",1980 Q2,"kindergarten","small",431,506,"non-free","rural","bachelor","level1",21,"cauc","24","56","7005"
"male","afam",1979 Q4,"kindergarten","regular",450,576,"free","inner-city","bachelor","probation",0,"cauc","11","31","7015"
"female","afam",1980 Q3,"kindergarten","regular+aide",425,459,"non-free","urban","master","level1",12,"cauc","7","10","7033"
"male","cauc",1979 Q4,"kindergarten","small",428,520,"free","rural","master","level1",12,"cauc","42","80","7079"
"female","cauc",1980 Q1,"kindergarten","regular+aide",456,576,"free","rural","master","level1",20,"cauc","3","3","7104"
"male","cauc",1980 Q1,"kindergarten","regular+aide",605,559,"non-free","rural","master","level1",5,"cauc","12","34","7136"
"female","afam",1980 Q3,"kindergarten","regular+aide",416,412,"free","inner-city","master","level1",10,"afam","11","28","7147"
"male","cauc",1980 Q3,"kindergarten","regular+aide",395,489,"free","rural","master","level1",11,"cauc","39","75","7163"
"female","afam",1980 Q2,"kindergarten","regular",467,528,"free","inner-city","bachelor","level1",12,"afam","11","27","7197"
"male","afam",1980 Q2,"kindergarten","regular+aide",390,444,"free","inner-city","bachelor","level1",9,"cauc","22","53","7261"
"male","asian",1980 Q2,"kindergarten","regular",413,454,"non-free","suburban","bachelor","level1",0,"cauc","11","17","7278"
"female","afam",1980 Q1,"kindergarten","regular+aide",440,500,"non-free","suburban","bachelor","apprentice",1,"afam","11","20","7311"
"male","cauc",1980 Q2,"kindergarten","small",410,444,"non-free","rural","bachelor","apprentice",1,"cauc","24","57","7324"
"female","cauc",1979 Q4,"kindergarten","regular+aide",445,478,"free","rural","master","level1",9,"cauc","31","65","7350"
"male","cauc",1979 Q4,"kindergarten","small",453,536,"non-free","suburban","bachelor","level1",5,"cauc","25","58","7367"
"female","afam",1979 Q4,"kindergarten","small",483,513,"free","suburban","bachelor","level1",3,"cauc","18","44","7447"
"female","afam",1980 Q3,"kindergarten","regular+aide",407,478,"non-free","suburban","bachelor","level1",8,"afam","11","17","7467"
"female","afam",1980 Q1,"kindergarten","small",411,468,"free","inner-city","bachelor","apprentice",1,"cauc","11","26","7504"
"male","cauc",1980 Q1,"kindergarten","regular",397,463,"free","rural","bachelor","apprentice",2,"cauc","24","57","7520"
"male","asian",1980 Q2,"kindergarten","regular+aide",455,547,"non-free","suburban","bachelor","level1",17,"cauc","18","43","7581"
"female","cauc",1980 Q3,"kindergarten","regular+aide",413,484,"non-free","rural","master","level1",13,"cauc","23","55","7610"
"female","cauc",1980 Q2,"kindergarten","regular+aide",407,468,"free","inner-city","bachelor","level1",9,"cauc","22","53","7645"
"male","cauc",1980 Q1,"kindergarten","regular+aide",402,468,"non-free","rural","bachelor","level1",8,"cauc","4","5","7663"
"female","cauc",1980 Q2,"kindergarten","regular+aide",424,449,"free","urban","bachelor","level1",13,"cauc","20","48","7694"
"female","cauc",1980 Q1,"kindergarten","regular+aide",440,489,"free","rural","master","level1",9,"cauc","31","65","7713"
"male","cauc",1979 Q4,"kindergarten","regular",421,478,"free","rural","bachelor","level1",10,"cauc","30","63","7718"
"female","cauc",1980 Q3,"kindergarten","regular",554,559,"non-free","suburban","bachelor","probation",14,"cauc","18","42","7738"
"female","afam",1979 Q4,"kindergarten","regular+aide",439,484,"free","suburban","master","level1",10,"cauc","11","24","7750"
"male","afam",1979 Q4,"kindergarten","small",425,454,"non-free","inner-city","bachelor","apprentice",1,"cauc","11","26","7831"
"male","afam",1980 Q1,"kindergarten","regular+aide",427,478,"non-free","suburban","bachelor","level1",7,"cauc","22","54","7855"
"male","cauc",1980 Q2,"kindergarten","small",458,484,"non-free","rural","bachelor","level1",4,"cauc","5","7","7901"
"female","cauc",1980 Q3,"kindergarten","regular+aide",430,484,"non-free","rural","bachelor","level1",9,"cauc","21","49","7945"
"male","afam",1980 Q3,"kindergarten","regular",408,454,"free","inner-city","master","level1",11,"afam","11","15","7979"
"female","afam",1980 Q1,"kindergarten","small",407,429,"free","urban","bachelor","probation",1,"cauc","13","37","7999"
"male","cauc",1980 Q3,"kindergarten","regular",433,513,"free","rural","bachelor","probation",0,"cauc","33","67","8025"
"male","cauc",1979 Q4,"kindergarten","regular",436,473,"free","rural","bachelor","probation",0,"cauc","5","7","8039"
"female","afam",1979 Q4,"kindergarten","small",418,423,"non-free","rural","bachelor","apprentice",3,"cauc","24","56","8118"
"female","afam",1979 Q4,"kindergarten","regular",443,463,"free","inner-city","master","level1",15,"afam","11","26","8150"
"female","afam",1980 Q2,"kindergarten","small",403,478,"free","suburban","bachelor","level1",3,"cauc","18","44","8174"
"female","cauc",1980 Q2,"kindergarten","regular",419,459,"non-free","rural","master","level1",13,"cauc","23","55","8205"
"female","cauc",1980 Q1,"kindergarten","regular+aide",408,459,"free","rural","master","level1",10,"cauc","36","72","8240"
"male","afam",1980 Q1,"kindergarten","regular",433,478,"non-free","inner-city","master","probation",3,"afam","22","53","8304"
"male","cauc",1980 Q3,"kindergarten","regular+aide",411,423,"non-free","rural","bachelor","level1",3,"cauc","32","66","8315"
"male","cauc",1979 Q4,"kindergarten","regular",503,559,"non-free","rural","bachelor","level1",10,"cauc","30","63","8374"
"female","cauc",1980 Q2,"kindergarten","regular",463,449,"free","rural","master","level2",11,"cauc","8","11","8414"
"female","cauc",1980 Q1,"kindergarten","regular+aide",388,463,"non-free","suburban","bachelor","apprentice",3,"cauc","18","42","8464"
"male","cauc",1980 Q3,"kindergarten","regular+aide",414,449,"non-free","rural","master","level1",5,"cauc","12","34","8474"
"male","cauc",1980 Q3,"kindergarten","regular+aide",390,459,"non-free","rural","master","level1",11,"cauc","39","75","8521"
"male","cauc",1979 Q1,"kindergarten","small",413,454,"free","urban","master","level1",12,"cauc","2","2","8543"
"male","cauc",1980 Q3,"kindergarten","regular+aide",470,494,"free","suburban","master","level1",14,"cauc","12","36","8569"
"male","afam",1980 Q3,"kindergarten","regular+aide",405,434,"free","inner-city","bachelor","level1",6,"cauc","11","16","8587"
"male","afam",1980 Q1,"kindergarten","small",442,547,"non-free","suburban","bachelor","level1",11,"afam","11","23","8608"
"female","cauc",1980 Q3,"kindergarten","regular",393,429,"free","rural","bachelor","level1",8,"cauc","4","5","8617"
"female","cauc",1980 Q2,"kindergarten","regular+aide",418,494,"non-free","suburban","bachelor","level1",18,"cauc","22","52","8636"
"female","cauc",1979 Q4,"kindergarten","regular",443,500,"non-free","rural","bachelor","level1",16,"cauc","29","62","8696"
"male","afam",1980 Q2,"kindergarten","regular+aide",428,468,"free","inner-city","bachelor","apprentice",1,"afam","11","14","8716"
"male","cauc",1979 Q3,"kindergarten","regular",410,444,"non-free","suburban","bachelor","level1",15,"cauc","12","36","8729"
"female","cauc",1980 Q1,"kindergarten","regular",437,500,"free","rural","bachelor","level1",10,"cauc","30","63","8753"
"male","afam",1980 Q3,"kindergarten","regular+aide",461,506,"non-free","inner-city","bachelor","level1",20,"afam","11","27","8779"
"male","cauc",1980 Q3,"kindergarten","regular",472,528,"free","suburban","bachelor","apprentice",1,"afam","11","21","8826"
"male","afam",1980 Q4,"kindergarten","small",434,506,"free","inner-city","bachelor","probation",9,"afam","11","22","8903"
"male","cauc",1980 Q3,"kindergarten","small",427,439,"non-free","rural","master","level1",15,"cauc","35","70","8969"
"male","cauc",1979 Q4,"kindergarten","regular",453,559,"free","rural","bachelor","level1",8,"cauc","36","72","8984"
"female","cauc",1980 Q2,"kindergarten","regular",445,494,"free","rural","bachelor","level1",4,"cauc","15","39","9037"
"male","afam",1980 Q2,"kindergarten","small",463,484,"non-free","suburban","bachelor","level1",16,"afam","22","51","9085"
"female","cauc",1980 Q2,"kindergarten","regular",437,484,"non-free","suburban","master","level1",13,"cauc","22","54","9102"
"male","cauc",1980 Q2,"kindergarten","regular",411,468,"free","rural","bachelor","level1",4,"cauc","15","39","9117"
"male","cauc",1980 Q1,"kindergarten","small",434,528,"free","rural","master","level1",9,"cauc","9","12","9137"
"female","afam",1980 Q1,"kindergarten","regular",433,439,"non-free","urban","master+","level1",13,"cauc","27","60","9151"
"female","afam",1980 Q1,"kindergarten","regular+aide",456,506,"free","suburban","bachelor","apprentice",1,"afam","11","20","9168"
"female","afam",1980 Q3,"kindergarten","regular",398,459,"non-free","inner-city","bachelor","level1",9,"afam","11","18","9178"
"male","cauc",1980 Q1,"kindergarten","regular",463,559,"free","rural","bachelor","level1",4,"cauc","15","39","9199"
"male","afam",1980 Q3,"kindergarten","small",470,576,"free","suburban","bachelor","level1",12,"afam","11","25","9211"
"male","cauc",1980 Q1,"kindergarten","regular",411,439,"non-free","rural","bachelor","level1",11,"cauc","31","64","9247"
"female","afam",1980 Q1,"kindergarten","small",413,500,"free","inner-city","bachelor","probation",1,"cauc","11","27","9265"
"female","cauc",1979 Q4,"kindergarten","regular+aide",440,520,"non-free","rural","master","level1",8,"cauc","24","57","9270"
"male","cauc",1980 Q1,"kindergarten","small",434,489,"non-free","urban","bachelor","level1",11,"cauc","26","59","9327"
"male","cauc",1980 Q1,"kindergarten","regular",492,528,"non-free","suburban","master","level1",13,"cauc","22","54","9345"
"female","cauc",1980 Q2,"kindergarten","small",465,559,"free","suburban","master","level1",14,"afam","11","21","9373"
